#pulse	class	comment
29771	1	left-midplane
29775	1	left-midplane
29776	1	left-midplane
29777	1	left-midplane
29778	1	left-midplane
29780	1	left-midplane
29781	1	left-midplane
29782	1	left-midplane
29783	1	left-midplane
29784	1	left-midplane
29785	1	left-midplane
29786	1	left-midplane
29790	1	left-midplane
29791	1	left-midplane
29794	1	left-midplane
29795	1	left-midplane
29796	1	left-midplane
29799	1	left-midplane
29800	1	left-midplane
29801	1	left-midplane
29803	1	left-midplane
29807	1	left-midplane
29808	1	left-midplane
29811	1	left-midplane
29812	1	left-midplane
29813	1	left-midplane
29814	1	left-midplane
29815	1	left-midplane
29818	1	left-midplane
29820	1	left-midplane
29821	1	left-midplane
29823	1	left-midplane
29824	1	left-midplane
29825	1	left-midplane
29826	1	left-midplane
29827	1	left-midplane
29828	1	left-midplane
29829	1	left-midplane
29832	1	left-midplane
29834	1	left-midplane
29835	1	left-midplane
29837	1	left-midplane
29840	1	left-midplane
29841	1	left-midplane
29843	1	left-midplane
29845	1	left-midplane
29846	1	left-midplane
29848	1	left-midplane
29849	1	left-midplane
29851	1	left-midplane
29852	1	left-midplane
29854	1	left-midplane
29855	1	left-midplane
29859	1	left-midplane
29862	1	left-midplane
29872	1	left-midplane
29876	1	left-midplane
29877	1	left-midplane
29878	1	left-midplane
29879	1	left-midplane
29880	1	left-midplane
29881	1	left-midplane
29882	1	left-midplane
29883	1	left-midplane
29884	1	left-midplane
29885	1	left-midplane
29887	1	left-midplane
29888	1	left-midplane
29889	1	left-midplane
29890	1	left-midplane
29891	1	left-midplane
29892	1	left-midplane
29893	1	left-midplane
29894	1	left-midplane
29895	1	left-midplane
29896	1	left-midplane
29902	1	left-midplane
29908	1	left-midplane
29909	1	left-midplane
29910	1	left-midplane
29912	1	left-midplane
29914	1	left-midplane
29915	1	left-midplane
29916	1	left-midplane
29917	1	left-midplane
29918	1	left-midplane
29919	1	left-midplane
29920	1	left-midplane
29921	1	left-midplane
29922	1	left-midplane
29923	1	left-midplane
29924	1	left-midplane
29925	1	left-midplane
29934	1	left-midplane
29935	1	left-midplane
29936	1	left-midplane
29937	1	left-midplane
29938	1	left-midplane
29939	1	left-midplane
29940	1	left-midplane
29941	1	left-midplane
29942	1	left-midplane
29943	1	left-midplane
29944	1	left-midplane
29947	1	left-midplane
29948	1	left-midplane
29949	1	left-midplane
29951	1	left-midplane
29952	1	left-midplane
29953	1	left-midplane
29954	1	left-midplane
29955	1	left-midplane
29956	1	left-midplane
29957	1	left-midplane
29958	1	left-midplane
29964	1	left-midplane
29966	1	left-midplane
29969	1	left-midplane
29970	1	left-midplane
29971	1	left-midplane
29972	1	left-midplane
29974	1	left-midplane
29975	1	left-midplane
29976	1	left-midplane
29978	1	left-midplane
29980	1	left-midplane
29981	1	left-midplane
29982	1	left-midplane
29983	1	left-midplane
29988	1	left-midplane
29989	1	left-midplane
29991	1	left-midplane
29992	1	left-midplane
29993	1	left-midplane
29994	1	left-midplane
30005	1	left-midplane
30006	1	left-midplane
30007	1	left-midplane
30008	1	left-midplane
30009	1	left-midplane
30010	1	left-midplane
30011	1	left-midplane
30012	1	left-midplane
30014	1	left-midplane
30015	1	left-midplane
30016	1	left-midplane
30017	1	left-midplane
30019	1	left-midplane
30020	1	left-midplane
30023	1	left-midplane
